,2020,CNDC
20/01/2020 21:00,0.444395042,0.420816168
20/01/2020 22:00,0.444751212,0.420978472
20/01/2020 23:00,0.445107382,0.421153652
21/01/2020 00:00,0.445463552,0.421339594
21/01/2020 01:00,0.445819722,0.421533958
21/01/2020 02:00,0.446175892,0.421734174
21/01/2020 03:00,0.446532062,0.421937456
21/01/2020 04:00,0.446888232,0.422140833
21/01/2020 05:00,0.447244402,0.422341193
21/01/2020 06:00,0.447600572,0.422535327
21/01/2020 07:00,0.447956742,0.422719975
21/01/2020 08:00,0.448312912,0.422891863
21/01/2020 09:00,0.448669082,0.423047755
21/01/2020 10:00,0.449025252,0.42318449
21/01/2020 11:00,0.449381422,0.423299029
21/01/2020 12:00,0.449737592,0.4233885
21/01/2020 13:00,0.450093762,0.423450237
21/01/2020 14:00,0.450449932,0.423481829
21/01/2020 15:00,0.450806102,0.42348116
21/01/2020 16:00,0.451162272,0.423446454
21/01/2020 17:00,0.451518442,0.423376319
21/01/2020 18:00,0.451874612,0.42326979
21/01/2020 19:00,0.452230782,0.423126373
21/01/2020 20:00,0.452586952,0.42294609
21/01/2020 21:00,0.452943122,0.42272952
21/01/2020 22:00,0.453299292,0.422477845
21/01/2020 23:00,0.453655462,0.422192893
22/01/2020 00:00,0.454011632,0.42187718
22/01/2020 01:00,0.454367801,0.421533958
22/01/2020 02:00,0.454723971,0.421167252
22/01/2020 03:00,0.455080141,0.420781879
22/01/2020 04:00,0.455436311,0.420383378
22/01/2020 05:00,0.455792481,0.419977923
22/01/2020 06:00,0.456148651,0.419572228
22/01/2020 07:00,0.456504821,0.419173451
22/01/2020 08:00,0.456860991,0.418789102
22/01/2020 09:00,0.457217161,0.418426948
22/01/2020 10:00,0.457573331,0.418094923
22/01/2020 11:00,0.457929501,0.417801026
22/01/2020 12:00,0.458285671,0.417553238
22/01/2020 13:00,0.458641841,0.417359416
22/01/2020 14:00,0.458998011,0.417227212
22/01/2020 15:00,0.459354181,0.417163969
22/01/2020 16:00,0.459710351,0.417176632
22/01/2020 17:00,0.460066521,0.417271652
22/01/2020 18:00,0.460422691,0.417454895
22/01/2020 19:00,0.460778861,0.417731546
22/01/2020 20:00,0.461135031,0.418106014
22/01/2020 21:00,0.461491201,0.418581843
22/01/2020 22:00,0.461847371,0.419161611
22/01/2020 23:00,0.462203541,0.419846844
23/01/2020 00:00,0.462559711,0.420637916
23/01/2020 01:00,0.462915881,0.421533958
23/01/2020 02:00,0.463272051,0.422532766
23/01/2020 03:00,0.463628221,0.423630753
23/01/2020 04:00,0.463984391,0.424823024
23/01/2020 05:00,0.464340561,0.426103492
23/01/2020 06:00,0.464696731,0.427464998
23/01/2020 07:00,0.465052901,0.428899429
23/01/2020 08:00,0.465409071,0.43039784
23/01/2020 09:00,0.465765241,0.431950574
23/01/2020 10:00,0.466121411,0.433547379
23/01/2020 11:00,0.466477581,0.43517753
23/01/2020 12:00,0.466833751,0.436829948
23/01/2020 13:00,0.467189921,0.438493319
23/01/2020 14:00,0.467546091,0.440156214
23/01/2020 15:00,0.467902261,0.44180721
23/01/2020 16:00,0.468258431,0.443435008
23/01/2020 17:00,0.468614601,0.445028553
23/01/2020 18:00,0.468970771,0.446577154
23/01/2020 19:00,0.469326941,0.448070604
23/01/2020 20:00,0.469683111,0.449499299
23/01/2020 21:00,0.470039281,0.450854357
23/01/2020 22:00,0.470395451,0.45212774
23/01/2020 23:00,0.47075162,0.453312372
24/01/2020 00:00,0.470881076,0.454402259
24/01/2020 01:00,0.471010531,0.455392607
24/01/2020 02:00,0.471139986,0.456279944
24/01/2020 03:00,0.471269442,0.457062187
24/01/2020 04:00,0.471398897,0.457738597
24/01/2020 05:00,0.471528352,0.458309684
24/01/2020 06:00,0.471657808,0.458777112
24/01/2020 07:00,0.471787263,0.459143603
24/01/2020 08:00,0.471916718,0.459412841
24/01/2020 09:00,0.472046174,0.459589377
24/01/2020 10:00,0.472175629,0.45967853
24/01/2020 11:00,0.472305084,0.459686298
24/01/2020 12:00,0.47243454,0.459619254
24/01/2020 13:00,0.472563995,0.459484457
24/01/2020 14:00,0.47269345,0.459289351
24/01/2020 15:00,0.472822906,0.459041676
24/01/2020 16:00,0.472952361,0.458749363
24/01/2020 17:00,0.473081816,0.458420446
24/01/2020 18:00,0.473211272,0.458062963
24/01/2020 19:00,0.473340727,0.457684861
24/01/2020 20:00,0.473470182,0.457293899
24/01/2020 21:00,0.473599638,0.456897553
24/01/2020 22:00,0.473729093,0.456502922
24/01/2020 23:00,0.473858548,0.45611663
25/01/2020 00:00,0.473988004,0.455744729
25/01/2020 01:00,0.474117459,0.455392607
25/01/2020 02:00,0.474246914,0.455064891
25/01/2020 03:00,0.47437637,0.454765385
25/01/2020 04:00,0.474505825,0.454497083
25/01/2020 05:00,0.47463528,0.454262224
25/01/2020 06:00,0.474764736,0.454062333
25/01/2020 07:00,0.474894191,0.453898276
25/01/2020 08:00,0.475023646,0.453770305
25/01/2020 09:00,0.475153102,0.453678109
25/01/2020 10:00,0.475282557,0.453620865
25/01/2020 11:00,0.475412012,0.453597282
25/01/2020 12:00,0.475541468,0.453605655
25/01/2020 13:00,0.475670923,0.453643911
25/01/2020 14:00,0.475800378,0.453709659
25/01/2020 15:00,0.475929834,0.45380024
25/01/2020 16:00,0.476059289,0.453912774
25/01/2020 17:00,0.476188744,0.45404421
25/01/2020 18:00,0.4763182,0.454191377
25/01/2020 19:00,0.476447655,0.454351029
25/01/2020 20:00,0.47657711,0.454519897
25/01/2020 21:00,0.476706566,0.454694739
25/01/2020 22:00,0.476836021,0.454872386
25/01/2020 23:00,0.476965476,0.455049791
26/01/2020 00:00,0.477094931,0.455224082
26/01/2020 01:00,0.477224387,0.455392607
26/01/2020 02:00,0.477353842,0.455552985
26/01/2020 03:00,0.477483297,0.455703139
26/01/2020 04:00,0.477612753,0.4558413
26/01/2020 05:00,0.477742208,0.455965989
