Dia/Mes,1980,1985,1990,1995,2000,2005,2010,2015,CORANI
23-Nov,22.60,19.20,30.31,25.70,18.12,36.43,16.49,23.25,
24-Nov,24.85,20.03,29.61,25.32,18.00,38.22,16.71,22.93,
25-Nov,24.48,21.37,29.07,24.99,18.91,37.22,16.71,22.63,
26-Nov,23.95,22.16,29.89,25.74,20.01,36.34,16.64,22.26,
27-Nov,23.48,22.17,30.51,26.36,20.14,35.29,16.62,22.68,0.70
28-Nov,23.07,21.81,29.73,25.77,20.05,34.29,16.68,25.17,
29-Nov,23.01,21.49,29.45,25.20,21.25,33.70,16.77,27.50,
30-Nov,23.19,21.21,29.88,24.67,22.34,34.60,16.83,27.59,
01-Dec,23.33,20.96,30.32,24.27,21.96,35.58,16.90,26.96,
02-Dec,23.17,20.71,30.14,23.90,21.89,35.27,16.91,26.35,
03-Dec,22.77,20.44,29.71,23.49,21.78,34.60,16.87,25.81,
04-Dec,23.03,20.18,29.21,23.91,21.50,34.70,16.86,25.37,3.78
05-Dec,23.48,19.94,28.73,26.58,21.25,35.47,16.81,25.54,
06-Dec,23.38,20.45,28.46,28.42,22.38,35.45,16.81,25.94,
07-Dec,23.08,20.94,29.66,29.41,23.51,34.62,16.86,26.07,
08-Dec,22.97,20.72,31.01,30.30,23.15,33.90,16.85,25.87,
09-Dec,22.93,20.63,30.67,29.71,22.75,33.72,17.17,25.65,
10-Dec,23.07,20.88,31.54,29.73,22.40,33.22,17.57,25.56,
11-Dec,23.25,21.12,32.34,30.16,23.34,32.38,17.59,25.16,9.48
12-Dec,24.46,21.06,31.80,30.10,25.50,31.58,18.19,24.77,
13-Dec,25.70,20.99,31.93,29.58,26.82,30.79,20.05,24.43,
14-Dec,26.07,20.96,31.80,28.81,27.17,30.12,21.02,24.02,
15-Dec,26.32,20.91,30.95,28.10,27.11,29.59,20.63,24.56,
16-Dec,25.88,22.47,30.13,27.44,26.91,29.00,20.29,25.15,
