Scenario,region,id,r,fuel_class,fraction
Historical,OR,1994,15,BIO,0
Historical,OR,1994,15,GAS,1
Historical,OR,1994,15,OIL,0
Historical,OR,1994,15,SUN,0
Historical,OR,1994,15,WIN,0
Historical,OR,1994,15,WAT,0
Historical,OR,1995,16,BIO,0
Historical,OR,1995,16,GAS,1
Historical,OR,1995,16,OIL,0
Historical,OR,1995,16,SUN,0
Historical,OR,1995,16,WIN,0
Historical,OR,1995,16,WAT,0
Historical,OR,1996,17,BIO,0
Historical,OR,1996,17,GAS,1
Historical,OR,1996,17,OIL,0
Historical,OR,1996,17,SUN,0
Historical,OR,1996,17,WIN,0
Historical,OR,1996,17,WAT,0
Historical,OR,1997,18,BIO,0
Historical,OR,1997,18,GAS,1
Historical,OR,1997,18,OIL,0
Historical,OR,1997,18,SUN,0
Historical,OR,1997,18,WIN,0
Historical,OR,1997,18,WAT,0
Historical,OR,1998,19,BIO,0
Historical,OR,1998,19,GAS,1
Historical,OR,1998,19,OIL,0
Historical,OR,1998,19,SUN,0
Historical,OR,1998,19,WIN,0
Historical,OR,1998,19,WAT,0
Historical,OR,1999,20,BIO,0
Historical,OR,1999,20,GAS,1
Historical,OR,1999,20,OIL,0
Historical,OR,1999,20,SUN,0
Historical,OR,1999,20,WIN,0
Historical,OR,1999,20,WAT,0
Historical,OR,2000,21,BIO,0
Historical,OR,2000,21,GAS,1
Historical,OR,2000,21,OIL,0
Historical,OR,2000,21,SUN,0
Historical,OR,2000,21,WIN,0
Historical,OR,2000,21,WAT,0
Historical,OR,2001,22,BIO,0
Historical,OR,2001,22,GAS,1
Historical,OR,2001,22,OIL,0
Historical,OR,2001,22,SUN,0
Historical,OR,2001,22,WIN,0
Historical,OR,2001,22,WAT,0
Historical,OR,2002,23,BIO,0
Historical,OR,2002,23,GAS,1
Historical,OR,2002,23,OIL,0
Historical,OR,2002,23,SUN,0
Historical,OR,2002,23,WIN,0
Historical,OR,2002,23,WAT,0
Historical,OR,2003,24,BIO,0
Historical,OR,2003,24,GAS,1
Historical,OR,2003,24,OIL,0
Historical,OR,2003,24,SUN,0
Historical,OR,2003,24,WIN,0
Historical,OR,2003,24,WAT,0
Historical,OR,2004,25,BIO,0
Historical,OR,2004,25,GAS,1
Historical,OR,2004,25,OIL,0
Historical,OR,2004,25,SUN,0
Historical,OR,2004,25,WIN,0
Historical,OR,2004,25,WAT,0
Historical,OR,2005,26,BIO,0
Historical,OR,2005,26,GAS,1
Historical,OR,2005,26,OIL,0
Historical,OR,2005,26,SUN,0
Historical,OR,2005,26,WIN,0
Historical,OR,2005,26,WAT,0
Historical,OR,2006,27,BIO,0
Historical,OR,2006,27,GAS,1
Historical,OR,2006,27,OIL,0
Historical,OR,2006,27,SUN,0
Historical,OR,2006,27,WIN,0
Historical,OR,2006,27,WAT,0
Historical,OR,2007,28,BIO,0
Historical,OR,2007,28,GAS,1
Historical,OR,2007,28,OIL,0
Historical,OR,2007,28,SUN,0
Historical,OR,2007,28,WIN,0
Historical,OR,2007,28,WAT,0
Historical,OR,2008,29,BIO,0
Historical,OR,2008,29,GAS,1
Historical,OR,2008,29,OIL,0
Historical,OR,2008,29,SUN,0
Historical,OR,2008,29,WIN,0
Historical,OR,2008,29,WAT,0
Historical,OR,2009,30,BIO,0
Historical,OR,2009,30,GAS,1
Historical,OR,2009,30,OIL,0
Historical,OR,2009,30,SUN,0
Historical,OR,2009,30,WIN,0
Historical,OR,2009,30,WAT,0
Historical,OR,2010,31,BIO,0
Historical,OR,2010,31,GAS,1
Historical,OR,2010,31,OIL,0
Historical,OR,2010,31,SUN,0
Historical,OR,2010,31,WIN,0
Historical,OR,2010,31,WAT,0
Historical,OR,2011,32,BIO,0
Historical,OR,2011,32,GAS,1
Historical,OR,2011,32,OIL,0
Historical,OR,2011,32,SUN,0
Historical,OR,2011,32,WIN,0
Historical,OR,2011,32,WAT,0
Historical,OR,2012,33,BIO,0
Historical,OR,2012,33,GAS,1
Historical,OR,2012,33,OIL,0
Historical,OR,2012,33,SUN,0
Historical,OR,2012,33,WIN,0
Historical,OR,2012,33,WAT,0
Historical,OR,2013,34,BIO,0
Historical,OR,2013,34,GAS,1
Historical,OR,2013,34,OIL,0
Historical,OR,2013,34,SUN,0
Historical,OR,2013,34,WIN,0
Historical,OR,2013,34,WAT,0
Historical,OR,2014,35,BIO,0
Historical,OR,2014,35,GAS,1
Historical,OR,2014,35,OIL,0
Historical,OR,2014,35,SUN,0
Historical,OR,2014,35,WIN,0
Historical,OR,2014,35,WAT,0
Historical,OR,2015,36,BIO,0
Historical,OR,2015,36,GAS,1
Historical,OR,2015,36,OIL,0
Historical,OR,2015,36,SUN,0
Historical,OR,2015,36,WIN,0
Historical,OR,2015,36,WAT,0
Historical,SU,1980,29,BIO,0
Historical,SU,1980,29,GAS,0.8784
Historical,SU,1980,29,OIL,0
Historical,SU,1980,29,SUN,0.0844
Historical,SU,1980,29,WIN,0
Historical,SU,1980,29,WAT,0.0373
Historical,SU,1981,35,BIO,0
Historical,SU,1981,35,GAS,0.8553
Historical,SU,1981,35,OIL,0
Historical,SU,1981,35,SUN,0.1064
Historical,SU,1981,35,WIN,0
Historical,SU,1981,35,WAT,0.0383
Historical,SU,1982,28,BIO,0
Historical,SU,1982,28,GAS,0.8786
Historical,SU,1982,28,OIL,0
Historical,SU,1982,28,SUN,0.0921
Historical,SU,1982,28,WIN,0
Historical,SU,1982,28,WAT,0.0293
Historical,SU,1983,3,BIO,0
Historical,SU,1983,3,GAS,0.911
Historical,SU,1983,3,OIL,0
Historical,SU,1983,3,SUN,0.0755
Historical,SU,1983,3,WIN,0
Historical,SU,1983,3,WAT,0.0135
Historical,SU,1984,34,BIO,0
Historical,SU,1984,34,GAS,0.863
Historical,SU,1984,34,OIL,0
Historical,SU,1984,34,SUN,0.0987
Historical,SU,1984,34,WIN,0
Historical,SU,1984,34,WAT,0.0383
Historical,SU,1985,36,BIO,0
Historical,SU,1985,36,GAS,0.8527
Historical,SU,1985,36,OIL,0
Historical,SU,1985,36,SUN,0.11
Historical,SU,1985,36,WIN,0
Historical,SU,1985,36,WAT,0.0373
Historical,SU,1986,26,BIO,0
Historical,SU,1986,26,GAS,0.8825
Historical,SU,1986,26,OIL,0
Historical,SU,1986,26,SUN,0.0872
Historical,SU,1986,26,WIN,0
Historical,SU,1986,26,WAT,0.0303
Historical,SU,1987,15,BIO,0
Historical,SU,1987,15,GAS,0.8918
Historical,SU,1987,15,OIL,0
Historical,SU,1987,15,SUN,0.0858
Historical,SU,1987,15,WIN,0
Historical,SU,1987,15,WAT,0.0224
Historical,SU,1988,18,BIO,0
Historical,SU,1988,18,GAS,0.8898
Historical,SU,1988,18,OIL,0
Historical,SU,1988,18,SUN,0.0845
Historical,SU,1988,18,WIN,0
Historical,SU,1988,18,WAT,0.0257
Historical,SU,1989,2,BIO,0
